,id,date,time,timezone,user_id,username,tweet,replies,retweets,likes,location,hashtags,link,sender,test
20,992713970405576704,2018-05-05,10:33:48,GMT,441701613,KobenhavnPoliti,Københavns Politi i Ørstedsparken. Vi efterforsker en mulig sædelighedsforbrydelse. Vi har ikke yderligere kommentarer af hensyn til efterforskningen. #politidk https://twitter.com/KobenhavnPoliti/status/992701054377693184 …,0,2,13,,['#politidk'],https://twitter.com/KobenhavnPoliti/status/992713970405576704/,Kbh,False
21,992701054377693184,2018-05-05,09:42:29,GMT,441701613,KobenhavnPoliti,"Københavns Politi er i Ørstedsparken, hvor vi undersøger et mistænkeligt forhold. Der vil være et område i Ørstedsparken, som vil være afspærret. Til pressen ingen yderligere kommentarer - næste opdatering om 1 time #politidk",4,6,13,,['#politidk'],https://twitter.com/KobenhavnPoliti/status/992701054377693184/,Kbh,False
22,992417146251640837,2018-05-04,14:54:20,GMT,441701613,KobenhavnPoliti,"Efter færdselsuheld på Øresundsmotorvejen mod vest har trafikken været spærret i 45 minutter. Der er nu åben for al trafik igen. De nødstedte biler holder i nødsporet, kør forsigtigt.#politi.dk",0,1,8,,['#politi'],https://twitter.com/KobenhavnPoliti/status/992417146251640837/,Kbh,False
23,992402448806567936,2018-05-04,13:55:56,GMT,441701613,KobenhavnPoliti,Vores betjente er klar i fanzonen foran Royal Arena inden første kamp mellem Rusland og Frankrig bliver skudt i gang i Ishockey VM #Denmark18 #politidk pic.twitter.com/V3RiC6arQq,22,15,295,,"['#Denmark18', '#politidk']",https://twitter.com/KobenhavnPoliti/status/992402448806567936/,Kbh,False
24,992380314185031680,2018-05-04,12:27:59,GMT,441701613,KobenhavnPoliti,Københavns Byret idømmer medlem af Loyal To Familia 20 års fængsel for drabsforsøg http://www.mynewsdesk.com/dk/koebenhavns-politi/pressreleases/koebenhavns-byret-idoemmer-medlem-af-loyal-to-familia-20-aars-faengsel-for-drabsforsoeg-2499050 …,1,7,83,,[],https://twitter.com/KobenhavnPoliti/status/992380314185031680/,Kbh,False
26,992057853857927168,2018-05-03,15:06:38,GMT,441701613,KobenhavnPoliti,"Politidirektør Anne Tønnes har i dag afholdt dusøruddeling for heltemodige borgere, der har bidraget til politiets arbejde. Bl.a. 28-årige Troels M. van Wonterghem, der løb efter en tyv og tilbageholdt ham, indtil politiet kom. Tak til dusørmodtagerne for indsatsen! #politidk pic.twitter.com/5MDDAd1UzG",2,4,69,,['#politidk'],https://twitter.com/KobenhavnPoliti/status/992057853857927168/,Kbh,False
27,992018832691810306,2018-05-03,12:31:35,GMT,441701613,KobenhavnPoliti,"Efterlysning: Tre gerningsmænd til brandstiftelse på Ingo tanken, København NV.  #politi  http://www.mynewsdesk.com/dk/koebenhavns-politi/pressreleases/efterlysning-tre-gerningsmaend-til-brandstiftelse-paa-ingo-tanken-koebenhavn-nv-2497451 … pic.twitter.com/ACDD3yjfhJ",0,14,11,,['#politi'],https://twitter.com/KobenhavnPoliti/status/992018832691810306/,Kbh,False
28,991883213122437120,2018-05-02,03:32:40,GMT,441701613,KobenhavnPoliti,Øvelsen i Royal Arena er slut.... og vi er blevet lidt dygtigere!#politidk,2,0,51,,['#politidk'],https://twitter.com/KobenhavnPoliti/status/991883213122437120/,Kbh,False
29,991807094180470785,2018-05-02,22:30:12,GMT,441701613,KobenhavnPoliti,"Formålet med øvelsen er at træne parathed, samarbejde samt områdekendskab.#politidk",1,0,15,,['#politidk'],https://twitter.com/KobenhavnPoliti/status/991807094180470785/,Kbh,False
30,991807092364279808,2018-05-02,22:30:12,GMT,441701613,KobenhavnPoliti,"Øvelse i og ved Royal Arena. Natten til torsdag d. 3. maj afholder Kbh Politi en øvelse i samarbejde med Royal Arena. Øvelsen har været planlagt gennem flere måneder. I forbindelse med øvelsen vil der være udrykningskørsel, ligesom der vil blive anvendt øvelsesammunition.",3,4,23,,[],https://twitter.com/KobenhavnPoliti/status/991807092364279808/,Kbh,False
31,991662362997526528,2018-05-02,12:55:06,GMT,441701613,KobenhavnPoliti,"Svensk politi hjælper til ved ishockey VM i København. På grund af det store antal svenske fans, der ventes at komme til Sveriges kampe, vil Københavns Politi samarbejde med svensk politi, der kender landets fans godt. De svenske politifolk vil fungere som dialogpoliti #politidk pic.twitter.com/a5uGCPvQDz",3,11,98,,['#politidk'],https://twitter.com/KobenhavnPoliti/status/991662362997526528/,Kbh,False
32,991625011520733185,2018-05-02,10:26:40,GMT,441701613,KobenhavnPoliti,Millionrøveri mod ”Pigen og Diamanten” under opklaring – i sagen er der også beslaglagt hård narkotika #politidk http://www.mynewsdesk.com/dk/koebenhavns-politi/pressreleases/millionroeveri-mod-pigen-og-diamanten-under-opklaring-i-sagen-er-der-ogsaa-beslaglagt-haard-narkotika-2495503 …,0,2,12,,['#politidk'],https://twitter.com/KobenhavnPoliti/status/991625011520733185/,Kbh,False
34,991301741554651136,2018-05-01,13:02:07,GMT,441701613,KobenhavnPoliti,Københavns Politi uddeler dusør til 16 borgere for heltemodig indsats #politidk http://www.mynewsdesk.com/dk/koebenhavns-politi/pressreleases/koebenhavns-politi-uddeler-dusoer-til-16-borgere-for-heltemodig-indsats-2494290 …,1,2,26,,['#politidk'],https://twitter.com/KobenhavnPoliti/status/991301741554651136/,Kbh,False
35,991298930095816704,2018-05-01,12:50:57,GMT,441701613,KobenhavnPoliti,Fire personer anholdt – sigtet for ulovlig våbenbesiddelse og kloning af biler http://www.mynewsdesk.com/dk/koebenhavns-politi/pressreleases/fire-personer-anholdt-sigtet-for-ulovlig-vaabenbesiddelse-og-kloning-af-biler-2494325 …,1,2,7,,[],https://twitter.com/KobenhavnPoliti/status/991298930095816704/,Kbh,False
37,991250093989859328,2018-05-01,09:36:53,GMT,441701613,KobenhavnPoliti,1. maj demonstrationer går gennem byen og benytter visse steder vejbanen. Vær opmærksom og vis hensyn. Følg busomlægninger via  http://Dot.dk  #politi.dk,3,4,13,,['#politi'],https://twitter.com/KobenhavnPoliti/status/991250093989859328/,Kbh,False
38,991215676101681152,2018-05-01,07:20:07,GMT,441701613,KobenhavnPoliti,Otte personer anholdt for dokumentfalsk og rufferivirksomhed #politidk http://www.mynewsdesk.com/dk/koebenhavns-politi/pressreleases/otte-personer-anholdt-for-dokumentfalsk-og-rufferivirksomhed-2494175 …,1,5,19,,['#politidk'],https://twitter.com/KobenhavnPoliti/status/991215676101681152/,Kbh,False
40,990313399996346368,2018-04-28,19:34:48,GMT,441701613,KobenhavnPoliti,En lørdagsvagt er ved at gå på held. Vi rydder op og gør klar til natholdet. Skal du være en af vores mange følgere. Vi mangler kun 3 i at have 260.000. God weekend København. Inden så længe er vi klar til VM i ishockey #politidk,9,9,179,,['#politidk'],https://twitter.com/KobenhavnPoliti/status/990313399996346368/,Kbh,False
41,989945697662390272,2018-04-27,19:13:41,GMT,441701613,KobenhavnPoliti,Vi afslutter politiforretningen på Søndre Fasanvej og ophæver afspærringen inden for få minutter. Det var opladning af batterier til cykler der gik galt og batteri eksploderede. Kun køkkenet blev beskadiget #politidk,1,3,24,,['#politidk'],https://twitter.com/KobenhavnPoliti/status/989945697662390272/,Kbh,False
42,989918239093293057,2018-04-27,17:24:34,GMT,441701613,KobenhavnPoliti,Ved branden på Søndre Fasanvej blev der ved slukning fundet en mistænkelig genstand. Derfor er afspærring udvidet og evakuering iværksat. Tidshorisont pt. ukendt #politidk,0,2,10,,['#politidk'],https://twitter.com/KobenhavnPoliti/status/989918239093293057/,Kbh,False
45,989532578033127424,2018-04-26,15:52:05,GMT,441701613,KobenhavnPoliti,Lange fængselsstraffe for medvirken til drab og drabsforsøg ved kiosk på Emdrupvej i 2016 #anklager #politidk http://www.mynewsdesk.com/dk/koebenhavns-politi/pressreleases/lange-faengselsstraffe-for-medvirken-til-drab-og-drabsforsoeg-ved-kiosk-paa-emdrupvej-i-2016-2491659 …,1,2,24,,"['#anklager', '#politidk']",https://twitter.com/KobenhavnPoliti/status/989532578033127424/,Kbh,False
46,989495226044690432,2018-04-26,13:23:40,GMT,441701613,KobenhavnPoliti,"Vi har i dag sammen med vores narkohunde beslaglagt over 20 kg hash og skunk, 1650 joints og øvrige hashprodukter på Christiania i området omkring Pusher Street #politidk pic.twitter.com/vuLGf3ZYxR",17,4,110,,['#politidk'],https://twitter.com/KobenhavnPoliti/status/989495226044690432/,Kbh,False
47,989145943890161664,2018-04-25,14:15:45,GMT,441701613,KobenhavnPoliti,Gasudslip er stoppet. Afspærringen er ophævet. #politidk https://twitter.com/KobenhavnPoliti/status/989140835521449985 …,0,0,6,,['#politidk'],https://twitter.com/KobenhavnPoliti/status/989145943890161664/,Kbh,False
48,989142938516185088,2018-04-25,14:03:48,GMT,441701613,KobenhavnPoliti,Pressebriefing ifm. dom i ubådssagen med specialanklager Jakob Buch-Jepsen  https://bit.ly/2JouqXM  #politidk pic.twitter.com/uXKxAOZckk,3,0,15,,['#politidk'],https://twitter.com/KobenhavnPoliti/status/989142938516185088/,Kbh,False
49,989140835521449985,2018-04-25,13:55:27,GMT,441701613,KobenhavnPoliti,"Gaslækage i krydset Nordstjerne Alle/Castor Alle i Kastrup, som er under kontrol. Området er afspærret i en kvadrat på ca. 30 m i hver retning. Dette har indflydelse for beboere på Nordstjerne Alle, Castor Alle og Spicas Alle. De kan rette kontakte tilstedeværende politi#politidk",0,0,7,,['#politidk'],https://twitter.com/KobenhavnPoliti/status/989140835521449985/,Kbh,False
50,989042939522412545,2018-04-25,07:26:26,GMT,441701613,KobenhavnPoliti,Press briefing today starting around 13.30 outside Københavns Byret with Special Prosecutor Jakob Buch-Jepsen regarding the verdict in the submarine case. Jakob Buch-Jepsen will answer questions in Danish only #politidk https://twitter.com/KobenhavnPoliti/status/989042644809592833 …,1,0,4,,['#politidk'],https://twitter.com/KobenhavnPoliti/status/989042939522412545/,Kbh,False
52,988741657347715083,2018-04-24,11:29:15,GMT,441701613,KobenhavnPoliti,Bandemedlem får 4 år og 6 måneders fængselsstraf for forsøg på våbenbesiddelse #anklager #politidk http://www.mynewsdesk.com/dk/koebenhavns-politi/pressreleases/bandemedlem-faar-4-aar-og-6-maaneders-faengselsstraf-for-forsoeg-paa-vaabenbesiddelse-2485665 …,0,0,29,,"['#anklager', '#politidk']",https://twitter.com/KobenhavnPoliti/status/988741657347715083/,Kbh,False
54,987605757460873216,2018-04-21,08:15:36,GMT,441701613,KobenhavnPoliti,"Demonstration ved forligsinstitutionen Sankt Annæ Plads fylder nu så meget, at vi har spærret for færdsel ad Sankt Annæ Plads fra Amaliegade til Bredgade.Ukendt tidshorisont. #Politidk",3,20,126,,['#Politidk'],https://twitter.com/KobenhavnPoliti/status/987605757460873216/,Kbh,False
57,987465661730426880,2018-04-20,22:58:54,GMT,441701613,KobenhavnPoliti,St. Kongensgade er igen åben for trafik. Den ødelagte bil er nu fjernet. #politi.dk,1,0,7,,['#politi'],https://twitter.com/KobenhavnPoliti/status/987465661730426880/,Kbh,False
58,987428896416157699,2018-04-20,20:32:49,GMT,441701613,KobenhavnPoliti,"St. Kongensgade er i øjeblikket spærret ved Kongens Nytorv, idet en bil er kørt i stykker og ikke kan komme væk ved egen hjælp.Vejhjælp tilkaldt #politidk",1,0,8,,['#politidk'],https://twitter.com/KobenhavnPoliti/status/987428896416157699/,Kbh,False
60,987318504738185218,2018-04-20,13:14:09,GMT,441701613,KobenhavnPoliti,"Danmarks Mesterskab for patruljehunde blev afholdt i denne uge. Københavns politihundesektion havde et godt mesterskab med øvelser, der er med til at udvikle det daglige patruljearbejde. Desværre fik vi ikke førstepladsen i denne omgang, men vi tager revanche næste år #politidk pic.twitter.com/yC1zTCWjOc",4,2,67,,['#politidk'],https://twitter.com/KobenhavnPoliti/status/987318504738185218/,Kbh,False
61,987259668480307200,2018-04-20,09:20:22,GMT,441701613,KobenhavnPoliti,"Senere samme dag blev der inde på Christiania beslaglagt 8,5 kg hash, 800 gram skunk, 100 gram pot og 250 joints #politidk pic.twitter.com/GGLs8CEiEY",5,5,30,,['#politidk'],https://twitter.com/KobenhavnPoliti/status/987259668480307200/,Kbh,False
62,987259298123337728,2018-04-20,09:18:53,GMT,441701613,KobenhavnPoliti,Købere af hash er med til at understøtte den organiserede kriminalitet i Pusher Street. I går blev 18 personer sigtet for besiddelse af euforiserende stoffer udenfor Christiania. Herudover blev en person sigtet for besiddelse af kniv #politidk,9,3,31,,['#politidk'],https://twitter.com/KobenhavnPoliti/status/987259298123337728/,Kbh,False
63,986967394890518530,2018-04-19,13:58:58,GMT,441701613,KobenhavnPoliti,"Officielt årets første sommerdag = mange mennesker i byen. Lad os alle hjælpe hinanden med at hjælpe hinanden med at nyde byen og dens muligheder. Vi er klar på 114, hvis behov for politi. I akutte tilfælde ring 112. Mvh. Vagtchefen #politidk",3,11,106,,['#politidk'],https://twitter.com/KobenhavnPoliti/status/986967394890518530/,Kbh,False
64,986946734063607808,2018-04-19,12:36:52,GMT,441701613,KobenhavnPoliti,"@marcoemil22 Du kan benytte anmeldelsesformularen på  http://www.politi.dk/da/borgerservice/anmeldelser/ … eller kontakte os via e-mail: kbh@politi.dk, telefon: 33141448 eller ved personligt fremmøde på Hovedbanegården for at anmelde forholdet. Du kan ringe 114 eller finde yderligere oplysninger på  http://politi.dk ",0,0,0,,[],https://twitter.com/KobenhavnPoliti/status/986946734063607808/,Kbh,False
65,986570944499023872,2018-04-18,11:43:37,GMT,441701613,KobenhavnPoliti,"Tre mænd blev i går varetægtsfængslet i 13 dage for omfattende lommetyverier i København. Ved en ransagning på deres hotelværelse i København V, blev der fundet adskillige tyvekoster #anklager #politidk",1,0,45,,"['#anklager', '#politidk']",https://twitter.com/KobenhavnPoliti/status/986570944499023872/,Kbh,False
67,986228613753294848,2018-04-17,13:03:19,GMT,441701613,KobenhavnPoliti,Vi har kørt lastbilen ind til siden før Øresundstunnellen og fået åbnet for trafikken igen. Forvent lidt kø & kom godt hjem. Lastbilen måles inden den får et Go videre til Sverige #politidk,0,1,10,,['#politidk'],https://twitter.com/KobenhavnPoliti/status/986228613753294848/,Kbh,False
69,985862353899130881,2018-04-16,12:47:56,GMT,441701613,KobenhavnPoliti,En 48-årig mand fra Ghana er varetægtsfængslet i 10 dage for menneskesmugling af to drenge under 18 år. Manden blev anholdt i lufthavnen #anklager #politidk,3,0,43,,"['#anklager', '#politidk']",https://twitter.com/KobenhavnPoliti/status/985862353899130881/,Kbh,False
71,985268823417860096,2018-04-14,21:29:27,GMT,441701613,KobenhavnPoliti,"Helsingørmotorvejen er spærret i nordgående retning efter færdselsuheld ved Bernstorffsvej, frakørsel 2. Vi arbejder på stedet med brandvæsenet. Vis hensyn #politidk",0,0,8,,['#politidk'],https://twitter.com/KobenhavnPoliti/status/985268823417860096/,Kbh,False
72,985068408361267200,2018-04-14,08:13:04,GMT,441701613,KobenhavnPoliti,"Veli er selv vendt tilbage til hospitalet, og er igen i trygge hænder. Tak for opmærksomheden. #politidk https://twitter.com/KobenhavnPoliti/status/985026237067415552 …",0,1,41,,['#politidk'],https://twitter.com/KobenhavnPoliti/status/985068408361267200/,Kbh,False
73,985026237067415552,2018-04-13,05:25:30,GMT,441701613,KobenhavnPoliti,"Vi savner Veli Petteri Eerekinharju fra Finland. Han er gået fra Amager Hospital i morges.Veli er 33 år, ca. 185cm høj, alm. bygning, lyst hår. Iført sort hue, mørk bluse, mørke bukser.Veli er meget konfus og skal tilbage til Amager hospital. Ring 114, hvis du ser Veli. Tak!.",0,18,17,,[],https://twitter.com/KobenhavnPoliti/status/985026237067415552/,Kbh,False
74,984719848356958208,2018-04-13,09:08:01,GMT,441701613,KobenhavnPoliti,"Skal du eller dit barn deltage i Blå Mandag? Vi har lavet 8 gode råd til unges færden på den store dag. Vi ønsker, at alle konfirmander får en god og tryg Blå Mandag #politidk pic.twitter.com/W8CFn1EhSw",10,8,59,,['#politidk'],https://twitter.com/KobenhavnPoliti/status/984719848356958208/,Kbh,False
75,984431210800828417,2018-04-12,14:01:05,GMT,441701613,KobenhavnPoliti,"To kvinder er varetægtsfængslet i 13 dage for forsøg på salg af narkotika. Ved ransagning af den ene kvindes bil blev der fundet 14 salgsposer med kokain, penge, en peberspray og en strømpistol #anklager #politidk",0,0,35,,"['#anklager', '#politidk']",https://twitter.com/KobenhavnPoliti/status/984431210800828417/,Kbh,False
76,984151771110105092,2018-04-11,19:30:41,GMT,441701613,KobenhavnPoliti,Øresundsmotorvejen er nu igen helt åben efter politiet har afsøgt området. Der blev ikke fundet noget på stedet. Intet yderligere #politi.dk,0,0,9,,['#politi'],https://twitter.com/KobenhavnPoliti/status/984151771110105092/,Kbh,False
77,984147228091658240,2018-04-11,19:12:38,GMT,441701613,KobenhavnPoliti,Øresundsmotorvejen er nu åben igen i retning mod Sverige. Dog er afkørsel 18 stadig spærret i samme retning. Forventes åbnet igen inden for kort tid. #politi.dk,0,1,4,,['#politi'],https://twitter.com/KobenhavnPoliti/status/984147228091658240/,Kbh,False
78,984145518585524224,2018-04-11,19:05:50,GMT,441701613,KobenhavnPoliti,"Politiet aflyser. Så har politiet den gode nyhed at kunne oplyse, at Jane fra Maribovej er fundet af en rar borger, der har fulgt Jane hjem. Tak til borgeren og til alle - der læste vores tweets om Jane. #politi.dk",2,0,75,,['#politi'],https://twitter.com/KobenhavnPoliti/status/984145518585524224/,Kbh,False
80,984131691747987456,2018-04-11,18:10:54,GMT,441701613,KobenhavnPoliti,"Inden for de næste 30 minutter, lukker politiet Øresundsmotorvejen umiddelbart før Tårnby Torv i retning af Sverige. #politi.dk",2,10,14,,['#politi'],https://twitter.com/KobenhavnPoliti/status/984131691747987456/,Kbh,False
81,984117330300063744,2018-04-11,17:13:50,GMT,441701613,KobenhavnPoliti,11 personer varetægtsfængslet for organiseret narkohandel http://www.mynewsdesk.com/dk/koebenhavns-politi/pressreleases/11-personer-varetaegtsfaengslet-for-organiseret-narkohandel-2475130 …,0,1,29,,[],https://twitter.com/KobenhavnPoliti/status/984117330300063744/,Kbh,False
83,983724782385618944,2018-04-10,15:13:59,GMT,441701613,KobenhavnPoliti,"Trafikinfo: vi lukker for trafik ad Vindebrogade i begge retninger fra Holmens Kanal til Frederiksholms Kanal. Der er mange demonstranter på Bertil Thorvaldsens Plads og kørebanen tæt ved at vi spærrer af, så der kan holdes taler m.m. Tidshorisont til kl. 19:00 #ok18. #politidk",2,7,37,,"['#ok18', '#politidk']",https://twitter.com/KobenhavnPoliti/status/983724782385618944/,Kbh,False
85,983415603468922880,2018-04-09,18:45:25,GMT,441701613,KobenhavnPoliti,"Centrumforbindelsen er nu helt fri for køer - myldretiden er overstået og dem på 4 ben er indfanget med god hjælp fra ejer og vores ""kofangere"" på/i patruljevogne. Dyrene bliver sat fri i indhegnet på område på Amager. Tak for alle gode råd. #politidk",8,3,171,,['#politidk'],https://twitter.com/KobenhavnPoliti/status/983415603468922880/,Kbh,False
86,983370425731289088,2018-04-09,15:45:54,GMT,441701613,KobenhavnPoliti,Køerne ( dem med yver) giver os stadig arbejde og nu er kreaturtransport kommet frem og kl. 1750 spærrer vi Centrumforbindelse ved Vejlands Alle af i op til 30 min for at få læsset dyrene ombord på lastbilen. #politidk,11,12,181,,['#politidk'],https://twitter.com/KobenhavnPoliti/status/983370425731289088/,Kbh,False
87,983324688951717888,2018-04-09,12:44:09,GMT,441701613,KobenhavnPoliti,Tre mænd idømt 10 års fængsel for banderelateret drabsforsøg #anklager #politidk http://www.mynewsdesk.com/dk/koebenhavns-politi/pressreleases/tre-maend-idoemt-10-aars-faengsel-for-banderelateret-drabsforsoeg-2472247 …,3,7,33,,"['#anklager', '#politidk']",https://twitter.com/KobenhavnPoliti/status/983324688951717888/,Kbh,False
88,983323864481648640,2018-04-09,12:40:53,GMT,441701613,KobenhavnPoliti,Køerne har planket den over autoværnet og befinder sig omkring søen ved Vejlands alle og Centrumforbindelsen. Vi gør alt for at holde dem væk fra kørebanen så du kan komme sikkert hjem - uden at holde for køer. Vi arbejder på at få koejeren tilstede snarest. #politidk,6,7,125,,['#politidk'],https://twitter.com/KobenhavnPoliti/status/983323864481648640/,Kbh,False
89,983318710638272512,2018-04-09,12:20:24,GMT,441701613,KobenhavnPoliti,"Er der en cowboy til stede. Vi forsøger at indfange 12 - 15 køer ved Vejlands Alle og Artillerivej. Så når du hører, at der er køer på Vejlands, så er det bogstaveligt talt sandt. Det er ikke ment at fange en ko, når man er på motorcykel. Ejeren forsøges kontaktet #politidk",52,96,914,,['#politidk'],https://twitter.com/KobenhavnPoliti/status/983318710638272512/,Kbh,False
90,983314665806749696,2018-04-09,12:04:20,GMT,441701613,KobenhavnPoliti,29-årig mand fra Rumænien varetægtsfængslet i 25 dage for butikstyveri af parfumer ved Kongens Nytorv #anklager #politidk,1,1,21,,"['#anklager', '#politidk']",https://twitter.com/KobenhavnPoliti/status/983314665806749696/,Kbh,False
92,983253396676399104,2018-04-09,08:00:52,GMT,441701613,KobenhavnPoliti,"@ThomasBodk Tak for din henvendelse! Vi anbefaler, at du ringer til Din Betjent, hvis personen ikke flytter sig, efter du venligt har bedt personen om dette. Du kan finde telefonnummer på Din Betjent for dit boligområde via dette link:  https://www.politi.dk/Koebenhavn/da/omos/din_betjent …",0,0,7,,[],https://twitter.com/KobenhavnPoliti/status/983253396676399104/,Kbh,False
93,982097206235705344,2018-04-05,03:26:35,GMT,441701613,KobenhavnPoliti,"Beklager det manglende ""at"". Selv vagtchefen kan blive træt #politidk",5,0,77,,['#politidk'],https://twitter.com/KobenhavnPoliti/status/982097206235705344/,Kbh,False
95,981969071590821889,2018-04-05,18:57:25,GMT,441701613,KobenhavnPoliti,"Målrettet aktion udenfor Christiania mod købere af hashprodukter resulterede i dag med 64 bøder for besiddelse af hash, 2 sager om ulovlige knive samt beslaglæggelse af diverse hashprodukter. Køberne er med til at understøtte den organiserede hashhandel i Pusherstreet #politidk",12,0,66,,['#politidk'],https://twitter.com/KobenhavnPoliti/status/981969071590821889/,Kbh,False
96,981854861619810304,2018-04-05,11:23:35,GMT,441701613,KobenhavnPoliti,Bandemedlem får 5 års fængselsstraf for våbenbesiddelse  #anklager #politidk http://www.mynewsdesk.com/dk/koebenhavns-politi/pressreleases/bandemedlem-faar-5-aars-faengselsstraf-for-vaabenbesiddelse-2469373 …,1,2,38,,"['#anklager', '#politidk']",https://twitter.com/KobenhavnPoliti/status/981854861619810304/,Kbh,False
